State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
02,"Kusilvak Census Area, Alaska",8129.0,24.0,36468.0,11693.0,3163.0,38.91007503998032,10.554803788903925
04,"Pima County, Arizona",1007257.0,38.2,48676.0,27323.0,179569.0,17.82752564638419,3.9715782565919127
04,"Maricopa County, Arizona",4155501.0,36.0,58580.0,30186.0,644476.0,15.508984355917613,2.989049936457722
04,"Gila County, Arizona",53145.0,49.3,41179.0,22433.0,11427.0,21.50155235675981,4.525355160410198
04,"Graham County, Arizona",37700.0,33.1,48173.0,17874.0,7089.0,18.80371352785146,4.56763925729443
04,"Santa Cruz County, Arizona",46358.0,36.6,39630.0,19482.0,10049.0,21.676948962422884,3.5743560981923292
04,"Cochise County, Arizona",126516.0,40.5,47847.0,24896.0,21054.0,16.64137342312435,2.838376173764583
04,"La Paz County, Arizona",20477.0,56.0,36479.0,21707.0,3971.0,19.39248913415051,3.3256824730185084
04,"Mohave County, Arizona",204691.0,50.4,41567.0,23527.0,37080.0,18.115110092773985,3.8365145512015673
04,"Apache County, Arizona",71602.0,34.2,32360.0,13865.0,25225.0,35.229462864165804,4.166084746236138
04,"Coconino County, Arizona",138639.0,30.6,53523.0,25722.0,26719.0,19.272354820793574,4.279459603719011
04,"Yavapai County, Arizona",220972.0,52.2,48259.0,27504.0,31859.0,14.41766377640606,2.996307224444726
04,"Yuma County, Arizona",204281.0,34.1,43253.0,20600.0,39161.0,19.170162668089542,4.472760560208732
04,"Greenlee County, Arizona",9368.0,33.4,56298.0,24935.0,1069.0,11.411187019641332,3.223740392826644
04,"Navajo County, Arizona",107902.0,35.9,38798.0,17685.0,30548.0,28.310874682582345,6.000815554855332
04,"Pinal County, Arizona",405537.0,38.5,52628.0,22944.0,58750.0,14.486964198087968,3.042139188286149
05,"White County, Arkansas",78706.0,36.3,44074.0,23120.0,12354.0,15.696389093588799,2.720250044469291
05,"Nevada County, Arkansas",8528.0,43.8,36995.0,18644.0,1920.0,22.5140712945591,1.9582551594746718
05,"St. Francis County, Arkansas",26688.0,38.4,33102.0,16518.0,6363.0,23.842176258992804,3.6196043165467624
05,"Pulaski County, Arkansas",392848.0,36.7,48850.0,29855.0,67056.0,17.069197246772287,2.8924673156029814
05,"Clay County, Arkansas",15190.0,43.4,32219.0,19171.0,3339.0,21.981566820276498,2.290980908492429
05,"Cross County, Arkansas",17164.0,40.7,41081.0,22894.0,3041.0,17.71731531111629,3.099510603588907
05,"Dallas County, Arkansas",7585.0,43.7,35794.0,18309.0,906.0,11.944627554383652,2.6367831245880025
05,"Drew County, Arkansas",18620.0,36.5,36092.0,20300.0,4246.0,22.80343716433942,4.0440386680988185
05,"Columbia County, Arkansas",23992.0,36.2,37072.0,20296.0,5553.0,23.145215071690565,4.326442147382461
05,"Randolph County, Arkansas",17514.0,42.2,35930.0,20932.0,3557.0,20.30946671234441,1.3589128697042365
05,"Saline County, Arkansas",116252.0,39.0,58985.0,28410.0,9210.0,7.922444345043526,2.1694250421498125
05,"Van Buren County, Arkansas",16751.0,47.6,34428.0,20568.0,3250.0,19.401826756611545,3.032654766879589
